,GalaxyID,FASHIID,ra_h1,dec_h1,mass_ratio,d_p,logM,SFR,z_a,W50,S_bf,logMh1,z_h1
1627,J125023+465901,20230051299,192.5968,46.9785,1.0434295576605912,127.7630895,9.886339188,0.35127306,0.0533247031271457,153.42,522.01,9.73,0.0532984
1628,J142413+424827,20230024327,216.0599,42.8074,0.0011816264531712833,55.05426822,8.061244965,-1.378196597,0.0173291321843862,111.92,616.59,8.9,0.0172946666666666
1629,J145001+402142,20230020429,222.5025,40.3646,0.8891120352345638,193.4079558,8.159089088,-2.385833263,0.0159467291086912,123.47,205.84,8.36,0.0159737333333333
1630,J133314+455013,20230027759,203.3125,45.8324,0.19848233616438635,109.9559862,7.540453911,-1.70712328,0.004435540176928,117.08,4436.16,8.8,0.0044407333333333
1631,J141324+435041,20230025628,213.4051,43.868,7.707868202353048,99.14245365,9.857157707,0.371010631,0.035011388361454,279.73,6517.5,10.49,0.0350139666666666
1632,J104102+383146,20230017501,160.2514,38.5526,8.534481493649492,190.4458121,10.26157284,-1.339393854,0.035893615335226,208.74,974.88,9.73,0.0363963666666666
1633,J104509+384252,20230017767,161.2855,38.7118,1.4276855666794677,120.7766527,9.677538872,-0.528845966,0.0324012599885463,250.59,1037.98,9.66,0.0323021333333333
1634,J094425+344208,20230011732,146.1125,34.7078,0.015413711145361712,72.48347902,8.467907906,-0.551590621,0.0200458578765392,176.39,3012.03,9.7,0.0200799
1635,J094620+344744,20230011785,146.5839,34.8027,37.722465932924656,34.53281982,10.06327343,-0.105917089,0.0220377184450626,300.71,2294.38,9.65,0.0219692333333333
1636,J095916+360714,20230050788,149.7714,36.0969,0.07951931641351659,183.1425217,9.597855568,-0.289032042,0.0576339699327945,295.13,1121.98,10.12,0.057473
1637,J091312+314828,20230007913,138.2999,31.8067,42.76187946349978,48.4278903,8.704921722,-1.29940474,0.0063351485878229,173.36,8790.01,9.32,0.0063115
1638,J100140+370740,20230015245,150.4172,37.1249,0.3215184970031762,116.9295831,8.679490089,-0.716780722,0.0201727654784917,109.0,1086.35,9.25,0.0201123666666666
1639,J093846+360234,20230013282,144.6812,36.0417,0.05675679064829655,155.8379107,8.598905563,-0.903184056,0.0227875877171754,24.72,286.51,8.78,0.0227499333333333
1640,J095952+375431,20230052321,149.9637,37.9044,6.222642860469263,114.7468411,9.293362617,-2.128151178,0.0160838477313518,45.36,2772.47,9.48,0.0160315666666666
1641,J103921+403322,20230020822,159.8452,40.5632,0.8010697108669967,155.9927811,8.934867859,-0.186577752,0.038312878459692,169.36,928.59,9.74,0.0382379
1642,J155543+415431,20230022795,238.9253,41.9154,2.5846638043261403,136.0336464,9.756548882,-0.239236072,0.0316777937114238,223.29,1993.56,9.83,0.0316219333333333
1643,J155637+414928,20230062204,239.1169,41.8502,0.02492882535203295,186.382939,9.201182365,-0.787044346,0.0389073714613914,77.71,729.87,9.66,0.0408308333333333
1644,J134401+553401,20230037277,206.0039,55.5629,1.4062876085176645,131.7460729,9.266806602,-0.528640628,0.0398260951042175,53.17,390.05,9.37,0.0397370333333333
1645,J133733+562557,20230038000,204.3947,56.4305,3.840930173983188,120.5945152,10.06968307,0.040166032,0.0405585505068302,169.44,1496.16,9.97,0.0405842333333333
1646,J143835+524223,20230034099,219.6438,52.6947,43.669450484352524,75.98971211,9.017122269,-0.91005224,0.0111494939774274,164.15,920.66,8.77,0.0111882333333333
