Galaxy,PID,RA_A,DEC_A,Z_A,RA_B,DEC_B,Z_B
J084409+323632,19380,130.98157241439324,32.58449818456314,0.06667657196521759,131.0397302801365,32.608903827753316,0.06660724431276321
J092837+383221,19392,142.15647987340583,38.53922004343195,0.012141624465584755,142.16607427975757,38.563612168742985,0.01244515459984541
J092837+383221,19392,142.15647987340583,38.53922004343195,0.012141624465584755,142.16607427975757,38.563612168742985,0.01244515459984541
J083108+305344,19426,127.78487075609227,30.89560778258947,0.07372046262025833,127.81484788333658,30.894867987863847,0.07307173311710358
J112546+470000,19481,171.44500856973372,47.00011528877993,0.03416924178600311,171.44059406197294,47.002476621861646,0.03421016409993172
J113326+471712,19483,173.36193844941053,47.28671423552991,0.045553915202617645,173.35434427920092,47.25494628302089,0.04534872993826866
J113326+471712,19483,173.36193844941053,47.28671423552991,0.045553915202617645,173.35434427920092,47.25494628302089,0.04534872993826866
J103434+450907,19502,158.6426047596116,45.15196437089921,0.02532738633453846,158.67162971446552,45.2769953100797,0.025758715346455574
J112754+472346,19517,171.97881503775423,47.39614933262978,0.0326835997402668,171.89796955573578,47.37945875128365,0.032730333507061005
J085906+331043,19839,134.77582887052301,33.17869401042983,0.04459762200713158,134.76174729333044,33.20628507940626,0.04424608126282692
J085906+331043,19839,134.77582887052301,33.17869401042983,0.04459762200713158,134.76174729333044,33.20628507940626,0.04424608126282692
J090501+335506,19842,136.2562705117624,33.918449342316556,0.04387396574020386,136.23058089687711,33.95616230721069,0.04349024221301079
J083552+302532,19869,128.9704564512454,30.425685608024075,0.02521240897476673,128.8877148810082,30.53427664846107,0.025502411648631096
J085512+322825,20006,133.80179379455353,32.4736304255933,0.07598713785409927,133.84429935759383,32.49249247588822,0.0760745033621788
J094706+344524,20950,146.7752910334724,34.75679722533004,0.04070313647389412,146.77945633637654,34.757800456017314,0.040625426918268204
J095911+363717,21015,149.79986028566856,36.62154818040674,0.040992431342601776,149.86965650637154,36.658506391481836,0.04124060645699501
J095736+365635,21047,149.40217164820095,36.943095750598495,0.04060065373778343,149.38713888314368,37.012516169490354,0.040763385593891144
J124009+484850,21108,190.0412224140112,48.81404270459291,0.029203426092863083,190.0891677208755,48.801487848913006,0.02918459288775921
J140644+471602,21178,211.68509179237026,47.2672315434874,0.05986154079437256,211.68895152150975,47.24959109292359,0.05918054282665253
J140644+471602,21178,211.68509179237026,47.2672315434874,0.05986154079437256,211.68895152150975,47.24959109292359,0.05918054282665253
J150324+420327,21205,225.85408832751415,42.057571982542505,0.016802294179797173,225.91548882048642,42.12631674524684,0.017311936244368553
J142555+462853,21221,216.48105556383433,46.48157884821828,0.03316379338502884,216.48424143993208,46.44972474328513,0.03310875594615936
J142555+462853,21221,216.48105556383433,46.48157884821828,0.03316379338502884,216.48424143993208,46.44972474328513,0.03310875594615936
J102522+425752,21328,156.3437069447121,42.96469201619184,0.048449620604515076,156.40502626134665,42.95929542889338,0.048682428896427155
J102522+425752,21328,156.3437069447121,42.96469201619184,0.048449620604515076,156.40502626134665,42.95929542889338,0.048682428896427155
